Metric,LogRegCCD,LogisticRegression
ROC AUC,0.6572176769096478,0.5395392877749996
PR AUC,0.6453546254639781,0.5308925951472985
F1 Score,0.6323809523809524,0.5049701789264414
Balanced Accuracy,0.628818925596603,0.5216005089434984
