Metric,LogRegCCD,LogisticRegression
ROC AUC,0.6818181818181818,0.6661025145067698
PR AUC,0.5947297101062046,0.569544104098353
F1 Score,0.6938775510204082,0.6304347826086957
Balanced Accuracy,0.6735976789168279,0.6274177949709865
