Metric,LogRegCCD,LogisticRegression
ROC AUC,0.6555902413043156,0.5395392877749996
PR AUC,0.638370030137781,0.5308925951472985
F1 Score,0.6283524904214559,0.5049701789264414
Balanced Accuracy,0.6269621695196106,0.5216005089434984
