Metric,LogRegCCD,LogisticRegression
ROC AUC,0.7930628785567999,0.7141233459700496
PR AUC,0.8096440348844852,0.7361665738305962
F1 Score,0.7927107061503417,0.7345029239766082
Balanced Accuracy,0.7493318517872964,0.6927752843261143
